Số 02, LK48
Đường Tây cao tốc, thôn Bầu
Số 1, Ngõ 293 Thạch Bàn
Tầng 4, tòa nhà 29T2 cụm nhà N05
ô 20, Liền kề 9
No. 10, LK 336
Số nhà 11, Liền kề 13
Đường Vạn Xuân, Thôn Lai Xá
Số 10 ngõ 61 Nguyên Khiết, Phường Phúc Tân
Số 7, ngách 2/47 phố Trần Hòa
Số nhà 15, ngõ 26
Số 2, ngách 81/3
Lô 20 Khu Biệt Thự 4, 1 Trung Văn
Số nhà 18  LK3, KĐT Đại Thanh
Phòng C2, 0510
Số 16, BT2
Số 125B Cụm 13, phố Thái Hà
Số nhà 7, ngõ 230/78 Định Công Thượng
BT6, 96B Nguyễn Huy Tưởng
Tầng 5, Số 18 Nguyễn Chí Thanh
Số 60, đường Phú Lương
B06, V7
35, A14
Số 46 ngõ 97 Phạm Ngọc Thạch, tổ 8
D10, 9
Văn phòng Trung tâm, AZ
Số 03, Ngõ 470 Nguyễn Trãi
Số 293/14 Đường An Thượng, Thôn An Hạ
Sàn thương mại, dịch vụ tầng 02 ( A6
Tầng 6, Tòa nhà Viwaseen Tower
Số 42, Ngõ 68 Cầu Giấy
Số 48, Phố Ba Hàng Mai
Tầng 2A Tòa 21 B4, KĐT Thành phố Giao Lưu
Số 118, Phố Hạ Đình
Số nhà 8, ngõ 82/6 Đường Kim Hoàng
Tầng 4M, tòa Somerset Hòa Bình
Số 51, Ngõ 53
Tầng 6, Số 171 Trần Phú
Liền kề 05 khu nhà ở CT37, số 17 Tố Hữu
Số 20, xóm Bảng Đường
Số 05, dãy 1
Số 40, ngõ 281
Số 23, đường Thiên Đức
Số 30, ngõ 88 Xuân Đỉnh
Số 41 Lô M2, Khu đô thị mới Yên Hòa
B18, TT15 KĐT Văn Quán
